Unnamed: 0,date,text
34,Sat Nov 13 23:09:34 +0000 2021,@packers Rodgers should have been fired and find $300.000.00 not the league. Rodgers must have been in contact with someone with Covid 19 He put friends family and public in danger. You think with Covid 19 in US 10 Million on going cases he think of everyone he is in contact specially NFL
38,Sat Nov 13 23:00:20 +0000 2021,New COVID-19 Data at 2021-11-13 06:00:01 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/KJoI7IrRM9
41,Sat Nov 13 22:56:42 +0000 2021,The Biden admin and blue states across the country are vehemently pressing parents to vaccinate their young children for covid despite the fact that coronavirus hospitalization and mortality rates among children are incredibly low. https://t.co/dLoQ60Ekjl
45,Sat Nov 13 22:54:03 +0000 2021,"Cases: 252,870,787 (+8,787) 
Deaths: 5,094,243 (+113) 
Recovered: 0 (+0) 
Active Cases: 252,870,787 (100%)
Completed Cases: 5,094,243 (2.01%)
Mortality Rate: 2.01% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
51,Sat Nov 13 22:49:21 +0000 2021,"Biden Pushes Coronavirus Vaccines on Children, 0.00%-0.03% of Child Cases Fatal https://t.co/YCMCJnEICe via @BreitbartNews"
54,Sat Nov 13 22:45:43 +0000 2021,"My neighbour was banging on my ceiling/his floor at 3:00 am, I choke on my neighbour's cigarette smoke AND pungent air freshener, the elevator is a COVID tube, I can't get out in a fire...but sure am glad I have class consciousness to live in a fcking apt. /s"
59,Sat Nov 13 22:42:18 +0000 2021,"I am blown away by this COVID vaccine video, one of the coolest things I have seen in a long time https://t.co/yREIETqtWh"
60,Sat Nov 13 22:41:57 +0000 2021,"CBK, [13/11/2021 à 00:17]
Like the Dutch, Austrians hit the streets tonight too as the government announced a new lockdown for those not willing to be injected with the experimental covid vaccine!

Join @CBKNEWS https://t.co/Ih5GHzIdqV"
62,Sat Nov 13 22:40:56 +0000 2021,"See you tonight at 9:00 p.m. at The Show!! Get tickets at https://t.co/fXMWDzfTWK!

**Masked required throughout the performance and proof of vaccination or recent negative covid test**
@TheBoxABQ"
70,Sat Nov 13 22:34:28 +0000 2021,"Santa flashing his Covid Pass @ 00:52 to be allowed to participate in Christmas ?!?

I think I’ve seen it all now … https://t.co/JYAJfRzpWt"
77,Sat Nov 13 22:30:19 +0000 2021,New COVID-19 Data at 2021-11-13 05:30:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/UzuY8Lr3eR
95,Sat Nov 13 22:22:55 +0000 2021,"Social Sciences and COVID-19 in Southeast Asia: (Non-)Role and (In)Significance

📌24 NOV 2021, 4.00-5.30 pm (BKK Time)
📍Zoom (Link: https://t.co/HRrLRWQiHA) &amp; FB Live
Organized by @SEAJunction, @ui_asiarc, @GDNint https://t.co/J7iz5ptN43"
103,Sat Nov 13 22:18:36 +0000 2021,First Covid cases confirmed in Rotorua. A young mother and her bf who escaped from Auckland. More to come.
104,Sat Nov 13 22:16:24 +0000 2021,Sing praises to the Lord! Join us online or in-person Sunday at 10:00 for our Worship Service lead by guest speaker Brent Ellis. Message: Looking Ahead. For Covid Protocols and Zoom link visit https://t.co/1X38ZhSDoI #HamOnt #Churches
107,Sat Nov 13 22:13:29 +0000 2021,10 New York mass COVID vaccination sites open to children 5-11 https://t.co/UeN6zHyBId
108,Sat Nov 13 22:12:33 +0000 2021,COVID-19's epicentre again: Europe faces fresh reckoning https://t.co/IhWhjoU2rf https://t.co/O4lUOM48zv
110,Sat Nov 13 22:10:25 +0000 2021,"@SAP__00 @maximumcharacte Interestingly, those who abuse androgens are high risk of severe covid"
112,Sat Nov 13 22:09:56 +0000 2021,"Brandon is fixing that cola raise seniors were looking forward too. Just announced that ""due to covid"" of course) Medicare part B deduction is increasing by 14.2%, up from $148.00 a month to $170. Petty much negates that big 6.2% cola huh!"
113,Sat Nov 13 22:09:42 +0000 2021,"Gets paid U$ 500,000.00 for lobbying on behalf of Cambodia

https://t.co/TymUqLFsbA"
120,Sat Nov 13 22:02:48 +0000 2021,"@AndrewLittleMP @NewshubNationNZ I strongly advise the use of Hyperbaric Oxygen Therapy (HBOT) as an alternative in treating COVID. They can be operated by untrained personnel 500 x Hyperbaric oxygen chambers = $8,000,000 USD or $11,332,568.00 NZD + shipping/tax.https://t.co/HX6WdxYEcg https://t.co/MInI3nRfOZ"
123,Sat Nov 13 22:01:31 +0000 2021,"@BobChar20165357 I strongly advise the use of Hyperbaric Oxygen Therapy (HBOT) as an alternative in treating COVID. They can@be operated by untrained personnel 500 x Hyperbaric oxygen chambers = $8,000,000 USD or $11,332,568.00 NZD + shipping/tax.https://t.co/HX6WdxYEcg https://t.co/MInI3nRfOZ"
124,Sat Nov 13 22:00:20 +0000 2021,New COVID-19 Data at 2021-11-13 05:00:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/7IXPyVZSaQ
128,Sat Nov 13 21:57:07 +0000 2021,"In the United States, 400,000 covid deaths (of 700K) occurred after the 1st vaccines were given. Almost all of the last 200,00 deaths would have been prevented if these people had been vaccinated
https://t.co/hCkFGJgNaH @LaurenLeatherby https://t.co/Y4C1ksOB5b"
131,Sat Nov 13 21:54:02 +0000 2021,"Cases: 252,862,000 (+0) 
Deaths: 5,094,130 (+62) 
Recovered: 0 (+0) 
Active Cases: 252,862,000 (100%)
Completed Cases: 5,094,130 (2.01%)
Mortality Rate: 2.01% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
132,Sat Nov 13 21:53:02 +0000 2021,"Cases: 252,862,000 (+7,298) 
Deaths: 5,094,068 (+0) 
Recovered: 0 (+0) 
Active Cases: 252,862,000 (100%)
Completed Cases: 5,094,068 (2.01%)
Mortality Rate: 2.01% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
133,Sat Nov 13 21:52:14 +0000 2021,$60.00 per pill Pfizer vs .60 per pill for Ivermectin. 😉 https://t.co/URx0u69owy
134,Sat Nov 13 21:50:25 +0000 2021,"4Million quit their jobs last month! Fuel up to $8.00 a gallon more deaths from Covid under Biden! Chain Supply Blockage, Net Pay down 1 1/2%. Elderly and poor don’t care Stock Markets. They care about affording food and paying their Electric and gas bills! #Bidenflation https://t.co/r0THwK8s2M"
135,Sat Nov 13 21:40:17 +0000 2021,"@BBCWorld Bars, cafes and restaurants can keep serving (QR codes required for diners who want to stay rather than take-away) between 06:00-20:00. 
Sports matches can go ahead, but without spectators, Coronavirus entry passes and assigned seats are mandatory in food and drink venues."
137,Sat Nov 13 21:34:08 +0000 2021,"COVID booster shots allowed for all adults in California, Colorado and New Mexico
 https://t.co/Cm19x0GYD8"
138,Sat Nov 13 21:27:00 +0000 2021,"Bloomberg: 

“Moderna acknowledged the company’s vaccine does appear linked to increased chances of an inflammatory heart condition known as myocarditis in young men.”

Moderna share price down 34% in 11 days.

https://t.co/Nb8tFlSIDp"
139,Sat Nov 13 21:25:11 +0000 2021,"I mean... So far 4 for 4. Dengue, Zika, Chikungunya and a ""Universal coronavirus vaccine"" $OCGN #COVAXIN #VaxThera #Vaccigen #Ocugen 

Oh and see who that partner is? @IVIHeadquarters https://t.co/AZxaKYdL2t

Yeah. Mic-drop. See you at 100.00+ https://t.co/4MhyjB2EQL"
140,Sat Nov 13 21:24:21 +0000 2021,Austria may impose COVID-19 lockdown for anyone not fully vaccinated https://t.co/qRTD2lFso2
141,Sat Nov 13 21:23:39 +0000 2021,"“Make America Florida.” If America had Florida’s COVID fatality rate, an additional 171,00 Americans would not be alive to celebrate Thanksgiving this month. I hope the Legislature thinks about that before they blindly follow DeSantis off the cliff.
https://t.co/zV7zL1MCra"
150,Sat Nov 13 21:12:23 +0000 2021,"For my Utrecht based Tweeps who don't like food waste: a local business bought €600,- worth of organic veggies for an event that is now canceled because of the new COVID measures. They're selling tomorrow between 13:00 and 16:00 at Rotsoord 32. Bring your own bag."
153,Sat Nov 13 21:09:33 +0000 2021,On a day when a swag of nincomknobs are inconveniencing people let’s have a shoutout to the real heroes of these times: all of the people currently standing in the rain at covid testing stations directing traffic and swabbing people. They're the real freedom fighters.
154,Sat Nov 13 21:07:16 +0000 2021,"@fragileone22 1.0 is everything up to their first hiatus in 2000.. so '83-'00
2.0 is era between hiatus and breakup.. '02 to '04
3.0 is era since comeback in '09 to covid.. '09 to '20
4.0 is '21 on"
160,Sat Nov 13 21:00:20 +0000 2021,New COVID-19 Data at 2021-11-13 04:00:01 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/7MjUxtndr7
163,Sat Nov 13 20:54:03 +0000 2021,"Cases: 252,854,702 (+0) 
Deaths: 5,094,068 (+136) 
Recovered: 0 (+0) 
Active Cases: 252,854,702 (100%)
Completed Cases: 5,094,068 (2.01%)
Mortality Rate: 2.01% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
166,Sat Nov 13 20:52:02 +0000 2021,"Cases: 252,854,702 (+9,566) 
Deaths: 5,093,932 (+0) 
Recovered: 0 (+0) 
Active Cases: 252,854,702 (100%)
Completed Cases: 5,093,932 (2.01%)
Mortality Rate: 2.01% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
170,Sat Nov 13 20:41:19 +0000 2021,@Sireeverything @michaelmalice People have natural immunity and people don’t need to be forced to take a vaccine that is not needed to live. Of covid was so deadly then the mayor of New York wouldn’t offering $100.00 for kids to take it. We don’t need to give up our freedom to give in to government control.
171,Sat Nov 13 20:32:07 +0000 2021,"COVID booster shots allowed for all adults in California, Colorado and New Mexico https://t.co/Y0fp3fn59a"
173,Sat Nov 13 20:30:19 +0000 2021,New COVID-19 Data at 2021-11-13 03:30:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/9EuHUkZDeI
175,Sat Nov 13 20:27:54 +0000 2021,"Continue the conversation with hosts, 
the ORS #Women's Leadership Forum Committee. 

Nov, 9 at 9:00 AM CENTRAL (virtual)

Strategies for Mitigating the Adverse Impacts of COVID-19 Pandemic on #Career Trajectories 

REGISTER to attend! https://t.co/xCafCbxiTh https://t.co/qsC3bMdgNw"
178,Sat Nov 13 20:19:26 +0000 2021,"@jjll_00 not according to the NHL. Besides, the point is simply that one league is taking the COVID threat seriously and one is not."
180,Sat Nov 13 20:16:57 +0000 2021,‘An unprecedented departure’: Unvaccinated workers face new challenge paying for their COVID-19 testing...everything about the Biden administration is a form of hell on earth... https://t.co/rbeEnnJ5Cp
188,Sat Nov 13 20:00:19 +0000 2021,New COVID-19 Data at 2021-11-13 03:00:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/YR3hvHbqe4
189,Sat Nov 13 20:00:00 +0000 2021,"THIS WEEKEND 🤙 Get ready for @kolohekai_music to pull our heartstrings at his back-to-back shows!

Doors open at 7:00PM / Show starts at 8:00 PM. Tickets for both nights are sold out!

Face masks and proof of vaccination are required for entry →  https://t.co/JylyEdEPun https://t.co/ajlzEH6SiQ"
190,Sat Nov 13 19:59:00 +0000 2021,Top CDC official told Congress migrant expulsion policy was not needed to contain COVID https://t.co/tQxylJgAhj
194,Sat Nov 13 19:54:02 +0000 2021,"Cases: 252,845,136 (+0) 
Deaths: 5,093,932 (+293) 
Recovered: 0 (+0) 
Active Cases: 252,845,136 (100%)
Completed Cases: 5,093,932 (2.01%)
Mortality Rate: 2.01% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
195,Sat Nov 13 19:50:47 +0000 2021,"Tamilnadu 7 days moving average of new covid cases continues to decline. Today reported 809 cases with 1,00,723 testing and test positive rate at 0.8%. https://t.co/CZc3ys3thT"
196,Sat Nov 13 19:50:03 +0000 2021,"Cases: 252,845,136 (+14,752) 
Deaths: 5,093,639 (+0) 
Recovered: 0 (+0) 
Active Cases: 252,845,136 (100%)
Completed Cases: 5,093,639 (2.01%)
Mortality Rate: 2.01% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
197,Sat Nov 13 19:47:19 +0000 2021,"@Kukicat7 Antibody levels decrease after two doses of Pfiz@r j@b - study from Israel.  OCTOBER 7, 2021 00:02

https://t.co/7Vl8jsuLNu"
199,Sat Nov 13 19:39:51 +0000 2021,HAPPENING NOW: Our Kids COVID-19 Vaccination Clinic is taking place now through 6:00 PM this evening at the Sports &amp; Learning Complex in Landover. Prince George’s County children and adults who live or work in the County can stop by to get a first dose or a booster. https://t.co/RGjuZayCMo
206,Sat Nov 13 19:30:19 +0000 2021,New COVID-19 Data at 2021-11-13 02:30:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/4gcvFumbU1
207,Sat Nov 13 19:28:55 +0000 2021,"#Army unable to #Assist @Conservatives @Tories with #TorySleaze #ToryCorruption as already #ShoringUp #UKGovernment #Covid &amp; #Brexit related #Failures @Douglas4Moray has pledged £30,000.00 but can’t remember where he put it! https://t.co/ccOxGNdNnd"
211,Sat Nov 13 19:21:21 +0000 2021,"What does it say about the Publishers? his tawdry career has overseen the deaths of 150,000, 35,00 of them with Covid sent to care homes where they later died. https://t.co/muJ4LC4nmQ"
214,Sat Nov 13 19:09:25 +0000 2021,Sis lost her job after Covid left her with memory issues. I'm her dependent as a lung cancer survivor (Never Smoked) and now we live on only $200.00 she gets from G.A. My SSDI pays rent which is a blessing🙏 https://t.co/fl2GqaGk1n
217,Sat Nov 13 19:01:26 +0000 2021,"NEXT SATURDAY ---&gt; STRIDE Community Health Vaccine Clinic at Eaglecrest. November 20th from 9:00 a.m. to 1:00 p.m.  COVID and Flu vaccine will be available, use the QR code to pre-register https://t.co/rsRJUbfnC1"
218,Sat Nov 13 19:00:19 +0000 2021,New COVID-19 Data at 2021-11-13 02:00:01 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/kyZ6Nbk80F
219,Sat Nov 13 19:00:01 +0000 2021,"Do You Want to Get Well? is a free Zoom webinar, assisting those who have experienced emotional challenges in dealing with COVID-19. The webinar will be  November 15 from 1:00 to 3:00 p.m. To register 
 click below.
https://t.co/BabbxM8eOT"
220,Sat Nov 13 18:57:37 +0000 2021,"@FoxNews  Your anti-mandate infection campaign is really going well. 80,00 new U.S. COVID cases a day. Keep up the good work.  #FoxNews"
225,Sat Nov 13 18:50:03 +0000 2021,"Cases: 252,830,384 (+12,901) 
Deaths: 5,093,639 (+142) 
Recovered: 0 (+0) 
Active Cases: 252,830,384 (100%)
Completed Cases: 5,093,639 (2.01%)
Mortality Rate: 2.01% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
226,Sat Nov 13 18:48:52 +0000 2021,"ALBERT BOURLA - Executive Director - Pfizer -USA

 ""THIRD DOSE OF VACCINE IS REQUIRED""

Born: 1961, Greece
SALARY: € 17,127,226.00 
 MONTH: € 1,427,268.83 
WEEK: € 329,369.73 
DAY: € 65,873

#pfitzergate #Pfizer #COVID19 #dkmedier #dkpol https://t.co/YNrsNH4sgR"
228,Sat Nov 13 18:39:48 +0000 2021,"According to Mr. @AlbertBourla the Taiwanese health authority must be ""criminals.""

Taiwan halts 2nd-dose BioNTech vaccinations for ages 12-17 amid concerns of myocarditis | Taiwan News | 2021-11-10 15:42:00
#Corona #myocarditis #COVID #coronabeleid https://t.co/pjodLBF5U6"
230,Sat Nov 13 18:30:19 +0000 2021,New COVID-19 Data at 2021-11-13 01:30:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/DHae7zvAfn
232,Sat Nov 13 18:27:08 +0000 2021,"WE ARE OPEN!

▫️ NOVEMBER 28th
▪️ 13:00 - 19:00 
▫️ DARE 2 BRISTOL
 🔹️ 1 Alfred St.
        BS2 0RF
‼️ NO ID NO ENTRY‼️

‼️ COVID VACCINATION PROOF OR NEGATIVE TEST REQUIRED‼️

⬇️🎟 TICKETS 🎟⬇️

https://t.co/unPL6z0nZz

▪️ £10 online, £12 OTD

SEE THREAD FOR SOCIAL INFO ⬇️⬇️⬇️"
236,Sat Nov 13 18:23:57 +0000 2021,"@Rohan48123537 @cbseindia29 @Cbse_official #cbseterm1online equality before law . Government is not thinking of #future  if a  1 boy gets COVID then 1 boy =8 family members and 100,000×8 = 8,00,000 then this 8lakhs people to 1000×8,00,000 this will again come 3 Wave then earth will be no longer #OnlineExamsForCBSEandICSE"
238,Sat Nov 13 18:23:06 +0000 2021,I can neither confirm nor deny this story. https://t.co/48emlab5Cm
239,Sat Nov 13 18:22:24 +0000 2021,"Addu City Covid-19 case status as of 13th November 2021 18:00 Hrs.
#StayHome 
#StaySafe
#WearMask https://t.co/mB6MVQ50Gk"
240,Sat Nov 13 18:21:56 +0000 2021,"Our Ivy Community Foundation, Incorporated will present its Beautillion tonight 11/13/21 at 6:00 PM. Because of Covid 19 restrictions, the event will be livestreamed. Watch live @ https://t.co/Kwp6sseeHO"
244,Sat Nov 13 18:16:47 +0000 2021,"LOVE ON TOUR. SHOP MERCH EARLY.
Sunday, 11/14, at Soma.
Masks are required while shopping.

All guests age 12 and older will be required to provide proof of full COVID-19 vaccination. https://t.co/vP1k2vHO1I"
250,Sat Nov 13 18:10:36 +0000 2021,"In the US 🇺🇸, 
currently, roughly 97 new cases of #COVIDー19 are confirmed every MINUTE⸺5,824 every HOUR.

📈Updated: ~12 Nov 2021 23:50:00 GMT
#coronavirus #covid19 #covid_19"
253,Sat Nov 13 18:07:52 +0000 2021,"@MichaelEzra @David__Osland Struggle after struggle, year after year. Unlike our late afternoon Swoppy I was out at the Docks at 6.00 a.m. today selling the Newsline with this stirring Editorial: https://t.co/4qYPSmBR5K"
254,Sat Nov 13 18:07:12 +0000 2021,#Coronavirus #COVID19 Global Cases by Johns Hopkins CSSE as of 11/13/21 12:00 CDT https://t.co/TFW7MkdeJY
256,Sat Nov 13 18:00:18 +0000 2021,New COVID-19 Data at 2021-11-13 01:00:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/atwvqx7ZNp
258,Sat Nov 13 17:58:59 +0000 2021,"809 new Covid cases reported today in Tamil Nadu.

Chennai- 120 cases
Coimbatore- 134 cases
Erode- 76 cases 

1,00,723 persons tested today. 

934 patients discharged. 14 new deaths.

Total: 27,14,025 cases, 26,68,001 discharged &amp; 36,273 deaths. https://t.co/ArAjE6kgkB"
259,Sat Nov 13 17:57:25 +0000 2021,"🚨 Webinar Alert!

🗓️April 28, 2020 
⏲️1:00 pm –2:00 pm CET

Join the co-chairs of the Lancet One Health Commission at  @UniOslo_GH  for a candid conversation on #OneHealth in the light of #Covid_19 pandemic. 

Register your interest at ➡️ https://t.co/eMJ7W40P19 https://t.co/Tvb3Axs2jt"
263,Sat Nov 13 17:50:03 +0000 2021,"Cases: 252,817,483 (+58,193) 
Deaths: 5,093,497 (+321) 
Recovered: 0 (+0) 
Active Cases: 252,817,483 (100%)
Completed Cases: 5,093,497 (2.01%)
Mortality Rate: 2.01% (-0.01%)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
265,Sat Nov 13 17:36:49 +0000 2021,"@302Patriot @gboslovesjesus Tell that to the 760,00+ Covid victims (&amp;climbing!)!!
Wisconsin disagrees! https://t.co/aQayogopB4"
266,Sat Nov 13 17:36:46 +0000 2021,"Ikuti Economic Outlook 2022 webinar, The Light at the End of the Tunnel: Optimism of Economic Recovery after Covid-19 Pandemic  persembahan PermataBank dan Bangkok Bank.
Rabu, 17 November 2021
Jam 14.00 – 16.00
See you around! https://t.co/uHyoCsYjYX"
267,Sat Nov 13 17:36:16 +0000 2021,Sunday Cycle 14th Nov departs WGH NS at 09.00 61K. RSVP if going. COVID Protocols apply. https://t.co/R429omqGEK
268,Sat Nov 13 17:31:08 +0000 2021,"@POTUS We were energy independent, then your policies took effect. Get real Man, get rid of your advisors. Start fresh, Think Smart. BTW: we had a strong economy prior to COVID, demand for oil was high, yet gasoline was kept at or below 2.00 a gallon. No excuses. Fix it NOW. https://t.co/BD3kMqEjUc"
269,Sat Nov 13 17:30:19 +0000 2021,New COVID-19 Data at 2021-11-13 12:30:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/RugYB1l41l
270,Sat Nov 13 17:27:08 +0000 2021,"Welcome Home Rams!   Alumni Game will be Wednesday, November 24th.  Girls Varsity wil play at 5:30, followed by Boys Varsity at 7:00.  https://t.co/kRIWn8c4EI

Due to COVID restrictions, all fans and players must be masked at all times during indoor events. https://t.co/5zjGyJWDbo"
273,Sat Nov 13 17:14:35 +0000 2021,"@AndrewNutter5 @Prague_Tony @MarieAnnUK It basically says that c 100,00 died DUE TO Covid from March 20 - Jan 21.  
Coming back to your 1.4 MILLION adverse reactions.  Can you provide some more detail, please? Direct correlation to vaccine? Severity?"
277,Sat Nov 13 17:05:44 +0000 2021,"Is the COVID vaccine losing its effectiveness in Ontario?
The case rate for fully vaxed has almost doubled over the last 2.5 months.
Ontario case rate/100,00 for that day for fully vaccinated individuals:
   24 Aug 1.19
   13 Nov 2.03
https://t.co/f80hU8f2Mx"
280,Sat Nov 13 17:03:11 +0000 2021,"Climate change is an emergency, so we need to start treating it like one. https://t.co/96qjyq6f8v"
281,Sat Nov 13 17:01:38 +0000 2021,"We are hosting another COVID-19 drive-thru testing and vaccination clinic in partnership with American Scientific Laboratories. The next clinic will be held Tuesday, November 16 from 9:00 AM-7:00 PM. More info below: https://t.co/kMmE0mahah"
282,Sat Nov 13 17:01:06 +0000 2021,"Happy Saturday! Free Clinic staff are at the Jubilee Family center today until 2:00. Stop by, say Hi to Santé, Raven, and Jen, pick up some free snacks and find out about our healthcare services. You can also get your Covid vaccination or your booster! https://t.co/rzZiKpDRxA"
283,Sat Nov 13 17:00:19 +0000 2021,New COVID-19 Data at 2021-11-13 12:00:01 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/yLr6BWczFN
285,Sat Nov 13 16:57:29 +0000 2021,"⚠️Delhi Health bulletin 13th Nov 

Total cases -56
Deaths - 00
Positivity- 0.10%
Recovery-66
#COVID19AB #COVID 
#CoronaVirusUpdates #coronavirus 
#Delhi #Corona #vaccinate      #Corona                                                
#COVID19 @DEEPAK_0616 https://t.co/CJ7Ns7OR8N"
287,Sat Nov 13 16:56:19 +0000 2021,"https://t.co/c1SEviKkAw
#Dutch #covid19 November 13 #interactive #Dashboard

Positive #cases:+13848 (2.283.083)
In #Hospital, #RIVM:+42 (34.297)
In Hospital, NICE from 12:00 AM:+12 (65.745)
#Deaths:+33 (18.728)

#Netherlands #CodeBlack #Vaccine #StaySafe  #QRcode #Lockdown #WHO https://t.co/k0LMEBtQ0P"
288,Sat Nov 13 16:53:31 +0000 2021,"The Prime Minister of the Netherlands announced a partial lockdown due to COVID-19. Restrictions are imposed for three weeks, from November 13 to December 4. 
Most of the country's residents will be transferred to remote work, shops will have to close at 18:00."
289,Sat Nov 13 16:53:00 +0000 2021,Los Angeles County sheriff says he won't enforce vaccine mandate for his employees https://t.co/vmwprxiRiK
290,Sat Nov 13 16:50:02 +0000 2021,"Cases: 252,759,290 (+4,154) 
Deaths: 5,093,176 (+101) 
Recovered: 0 (+0) 
Active Cases: 252,759,290 (100%)
Completed Cases: 5,093,176 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
295,Sat Nov 13 16:43:21 +0000 2021,"Today until 1:00 =&gt; 
at St. Monica Indy
6131 Michigan Road
It’s Ascension St. Vincent medical mission

Everything is freeeeee! 

Coats, food, personal care bags, Covid and flu vaccines, help with insurance enrollment"
299,Sat Nov 13 16:37:46 +0000 2021,"COVID-19 Vaccination Clinic at the O'Bryant Today 

9:00 am - 12:00 Noon

Ages 5+

Free 

Boosters also available https://t.co/PF9vf0GL0s"
304,Sat Nov 13 16:30:18 +0000 2021,New COVID-19 Data at 2021-11-13 11:30:00 am EST #Coronavirus #COVID19 #COVID_19 https://t.co/IMjUp7Ohcg
314,Sat Nov 13 16:19:05 +0000 2021,"@murdo_fraser You forget your party in Westminster needlessly killed 130,00 people with its incompetent covid response."
319,Sat Nov 13 16:09:07 +0000 2021,"@mikesbloggity How lucky u live in Nova Scotia.
90 year old mom in hospital for a week that has Covid outbreak.
Immunocompromised husband &amp; daughter await her return at home.
Nanaimo rapid test charge $195.00 each.
Bought same test online $8.72. 
@adriandix gouging us.
#bcpoli"
327,Sat Nov 13 16:00:18 +0000 2021,New COVID-19 Data at 2021-11-13 11:00:00 am EST #Coronavirus #COVID19 #COVID_19 https://t.co/Qe4MBOrYse
328,Sat Nov 13 15:59:43 +0000 2021,"#Packers QB Aaron Rodgers is back in the building and set to be activated from the COVID list and will start Sunday against the #Seahawks, per sources. 

Rodgers vs. Russell Wilson at Lambeau Field."
